city,latitude,longitude,temperature,humidity,cloudiness,wind,datetime,country
punta arenas,-53.15,-70.9167,48.09,66,75,25.32,1611948215,CL
kirovskiy,45.0917,133.5136,-23.69,86,4,2.57,1611948216,RU
san cristobal,7.7669,-72.225,84.2,58,40,13.8,1611947928,VE
maningrida,-12.0667,134.2667,76.3,91,81,6.11,1611948218,AU
necochea,-38.5473,-58.7368,78.01,42,35,6.8,1611948219,AR
kaitangata,-46.2817,169.8464,45.32,84,64,6.2,1611948220,NZ
ushuaia,-54.8,-68.3,42.8,70,75,23.02,1611947996,AR
cape town,-33.9258,18.4232,68.5,77,0,12.66,1611948223,ZA
cherskiy,68.75,161.3,-32.21,83,60,4.05,1611948224,RU
jamestown,42.097,-79.2353,20.17,79,90,13.8,1611948225,US
tasiilaq,65.6145,-37.6368,17.6,86,90,21.85,1611948226,GL
rikitea,-23.1203,-134.9692,79.65,69,57,6.8,1611948227,PF
sao joao da barra,-21.6403,-41.0511,86,58,0,23.02,1611948229,BR
sinnamary,5.3833,-52.95,78.82,87,100,12.12,1611948230,GF
sept-iles,50.2001,-66.3821,14.14,52,26,6.91,1611948231,CA
mataura,-46.1927,168.8643,48,80,13,8.01,1611948232,NZ
hilo,19.7297,-155.09,66.06,88,90,4.32,1611948019,US
ust-nera,64.5667,143.2,-16.11,79,100,2.86,1611948234,RU
namibe,-15.1961,12.1522,74.16,77,11,13.78,1611948235,AO
dalbandin,28.8947,64.4101,52.81,29,100,5.32,1611948236,PK
sistranda,63.7256,8.834,33.8,86,75,19.57,1611948130,NO
meulaboh,4.1363,96.1285,74.88,87,100,7.52,1611948239,ID
tessalit,20.1986,1.0114,69.19,19,0,10.02,1611948240,ML
newtownards,54.5924,-5.6909,41.7,87,75,5.75,1611948241,GB
pisco,-13.7,-76.2167,76.15,65,0,6.91,1611948242,PE
hermanus,-34.4187,19.2345,64,82,94,5.21,1611948243,ZA
geraldton,-28.7667,114.6,82.4,20,0,23.02,1611948245,AU
chokurdakh,70.6333,147.9167,-23.46,86,100,7.56,1611948246,RU
dolinsk,47.35,142.8,19.4,93,75,13.42,1611948247,RU
samarai,-10.6167,150.6667,81.88,77,81,9.08,1611948189,PG
san juan,-31.5375,-68.5364,91.13,22,97,8.63,1611947997,AR
busselton,-33.65,115.3333,63,78,0,5.01,1611948250,AU
bluff,-46.6,168.3333,48,80,33,8.01,1611948252,NZ
nanortalik,60.1432,-45.2371,34.05,86,100,8.52,1611948253,GL
houston,29.7633,-95.3633,63.39,55,20,12.66,1611947840,US
acapulco,16.8634,-99.8901,86,58,75,11.5,1611948141,MX
tocopilla,-22.092,-70.1979,74.41,44,2,5.61,1611948256,CL
tuatapere,-46.1333,167.6833,48,80,5,8.01,1611948257,NZ
kodiak,57.79,-152.4072,33.8,69,40,17.27,1611948258,US
hobart,-42.8794,147.3294,59.34,94,20,5.75,1611948259,AU
akranes,64.3218,-22.0749,32.88,69,75,6.91,1611948261,IS
salalah,17.0151,54.0924,73.4,64,75,10.36,1611948262,OM
longyearbyen,78.2186,15.6401,-2.2,55,20,25.32,1611948263,SJ
mykhaylivka,47.2724,35.2224,35.29,87,0,13.42,1611948264,UA
tiznit,29.5833,-9.5,65.8,41,0,3.56,1611948265,MA
fortuna,40.5982,-124.1573,48.09,93,1,6.91,1611948266,US
sao filipe,14.8961,-24.4956,77.31,57,100,8.7,1611948267,CV
alta floresta,-9.8756,-56.0861,87.8,58,40,3.44,1611948269,BR
quimper,48,-4.1,50,93,75,9.22,1611948270,FR
naples,40.8333,14.25,57.63,77,75,16.11,1611948271,IT
kapaa,22.0752,-159.319,73.74,78,75,20.71,1611948258,US
vaini,-21.2,-175.2,77,94,75,12.66,1611948273,TO
saint-philippe,-21.3585,55.7679,75.87,69,0,4.61,1611948274,RE
quatre cocos,-20.2078,57.7625,80.82,78,75,9.22,1611948275,MU
arlit,18.7369,7.3853,69.42,20,3,11.5,1611948277,NE
podgorica,42.4411,19.2636,39.22,100,90,3.44,1611948137,ME
saskylakh,71.9167,114.0833,-38.81,79,69,2.13,1611948262,RU
tuktoyaktuk,69.4541,-133.0374,-34.6,67,20,3.44,1611948261,CA
ostrovnoy,68.0531,39.5131,5.99,93,100,17.72,1611948281,RU
bochnia,49.9691,20.4303,30.31,83,100,6.13,1611948282,PL
yellowknife,62.456,-114.3525,-18.13,76,20,6.91,1611948217,CA
port elizabeth,-33.918,25.5701,64.4,88,40,5.75,1611948012,ZA
constitucion,-35.3333,-72.4167,67.6,70,100,8.63,1611948056,CL
beaverlodge,55.2166,-119.4361,-7.6,84,20,3.74,1611948287,CA
atuona,-9.8,-139.0333,78.64,75,3,19.28,1611948266,PF
fort nelson,58.8053,-122.7002,-14.8,76,40,1.61,1611948289,CA
arraial do cabo,-22.9661,-42.0278,84.2,58,0,21.85,1611948082,BR
ahipara,-35.1667,173.1667,59.43,77,3,5.7,1611948291,NZ
ponta do sol,32.6667,-17.1,55.78,75,26,1.99,1611948292,PT
luderitz,-26.6481,15.1594,73,42,0,27.09,1611948193,NA
verkhoyansk,67.5447,133.385,-40.58,77,100,0.58,1611948060,RU
kutum,14.2,24.6667,60.87,29,18,13.49,1611948296,SD
ulundi,-28.3352,31.4162,69.8,91,100,2.26,1611948297,ZA
guiyang,26.5833,106.7167,39.2,100,90,8.95,1611948298,CN
uyuni,-20.4597,-66.825,60.57,24,0,13.18,1611948299,BO
naryan-mar,67.6713,53.087,-16.47,84,100,12.46,1611948300,RU
inhambane,-23.865,35.3833,80.29,89,20,4.88,1611948302,MZ
albany,42.6001,-73.9662,15.53,45,84,11.01,1611948303,US
butaritari,3.0707,172.7902,80.58,77,97,17.38,1611948262,KI
oksfjord,70.2396,22.3479,12.88,73,40,23.02,1611948130,NO
sabha,27.0377,14.4283,54.97,51,0,3.33,1611948306,LY
baykit,61.67,96.37,-40.45,74,74,4.54,1611948307,RU
iisalmi,63.5592,27.1907,24.8,86,90,6.91,1611948309,FI
kavieng,-2.5744,150.7967,82.92,81,100,15.55,1611948310,PG
salinopolis,-0.6136,-47.3561,83.07,73,87,13.96,1611948311,BR
assiniboia,49.6334,-105.9845,19.4,63,100,1.14,1611948312,CA
joshimath,30.5667,79.5667,34.32,50,0,8.72,1611948313,IN
lethem,3.3803,-59.7968,91.96,40,100,10.78,1611948315,GY
aklavik,68.2191,-135.0107,-31,68,40,3.44,1611948316,CA
urumqi,43.801,87.6005,6.8,85,8,4.47,1611948317,CN
hithadhoo,-0.6,73.0833,81.48,77,66,8.19,1611948318,MV
nantucket,41.2835,-70.0995,15.42,62,90,19.57,1611948023,US
katsuura,35.1333,140.3,35.38,48,0,18.41,1611948320,JP
safaga,26.7292,33.9365,60.8,39,0,10.36,1611948321,EG
ponnani,10.767,75.9252,78.8,69,20,5.84,1611948322,IN
lukovetskiy,64.2956,41.9211,15.8,86,90,11.18,1611948324,RU
victoria,22.2855,114.1577,57.06,73,0,1.01,1611948256,HK
yar-sale,66.8333,70.8333,-41.76,80,15,4.76,1611948326,RU
berlevag,70.8578,29.0864,19.87,73,75,6.91,1611948327,NO
nabire,-3.3667,135.4833,73.8,93,100,2.64,1611948328,ID
seoul,37.5683,126.9778,20.05,54,75,9.22,1611948324,KR
mar del plata,-38.0023,-57.5575,82.4,32,75,12.66,1611948229,AR
aswan,24.0934,32.907,57.15,40,0,9.84,1611948273,EG
marystown,47.1666,-55.1483,28.31,92,72,19.69,1611948333,CA
bambous virieux,-20.3428,57.7575,80.78,78,75,9.22,1611948269,MU
coahuayana,18.7333,-103.6833,86,42,40,6.87,1611948335,MX
new norfolk,-42.7826,147.0587,58.51,84,22,2.42,1611948336,AU
bredasdorp,-34.5322,20.0403,64,82,93,7.02,1611948337,ZA
hay river,60.8156,-115.7999,-5.8,71,1,6.91,1611948083,CA
nouadhibou,20.931,-17.0347,73.4,53,0,12.66,1611948339,MR
dikson,73.5069,80.5464,-33.16,84,92,5.66,1611948291,RU
clyde river,70.4692,-68.5914,-16.6,76,1,14.97,1611948342,CA
general jose eduvigis diaz,-27.1667,-58.4167,78.8,73,75,27.63,1611948343,PY
armidale,-30.5167,151.65,59,95,87,5.59,1611948344,AU
alugan,12.2188,125.4808,77.68,84,100,22.44,1611948190,PH
marawi,7.9986,124.2928,73,94,100,7,1611948324,PH
evensk,61.95,159.2333,-7.04,82,98,11.41,1611948348,RU
torbay,47.6666,-52.7314,26.76,86,75,18.41,1611948349,CA
san carlos de bariloche,-41.1456,-71.3082,73.24,21,0,19.57,1611948350,AR
chuy,-33.6971,-53.4616,79.29,63,5,10.2,1611948351,UY
waipawa,-41.4122,175.5153,56.01,67,90,21.85,1611948188,NZ
klaksvik,62.2266,-6.589,32,69,75,4.61,1611948353,FO
jibuti,11.5,42.5,77,69,75,11.43,1611948155,DJ
saint-augustin,51.226,-58.6502,21.07,90,0,12.12,1611948356,CA
pacific grove,36.6177,-121.9166,52.39,62,40,0.76,1611948250,US
iqaluit,63.7506,-68.5145,-13,70,1,33.38,1611948358,CA
puerto ayora,-0.7393,-90.3518,82.83,70,20,13.8,1611948359,EC
hambantota,6.1241,81.1185,75.2,100,40,2.3,1611948318,LK
carnarvon,-24.8667,113.6333,78.8,89,6,9.22,1611948362,AU
oudtshoorn,-33.5907,22.2014,62.6,82,0,3.44,1611948363,ZA
komsomolskiy,40.4272,71.7189,33.8,47,2,6.91,1611948364,UZ
airai,-8.9266,125.4092,61.9,100,100,4.21,1611948365,TL
sitka,57.0531,-135.33,35.6,55,90,14.97,1611948367,US
muzhi,65.3667,64.6667,-41.55,79,1,2.89,1611948369,RU
evanston,42.0411,-87.6901,31.66,43,20,11.5,1611948270,US
george town,5.4112,100.3354,77.5,78,20,3.44,1611948371,MY
cabo san lucas,22.8909,-109.9124,77.38,64,20,13.8,1611948363,MX
bengkulu,-3.8004,102.2655,75.78,88,100,5.55,1611948373,ID
vallenar,-28.5708,-70.7581,85.87,26,0,10.16,1611948374,CL
olafsvik,64.8945,-23.7142,33.39,92,100,2.3,1611948375,IS
poum,-20.2333,164.0167,78.85,77,53,15.17,1611948377,NC
broken hill,-31.95,141.4333,68,64,0,16.11,1611948378,AU
beloha,-25.1667,45.05,79.14,78,48,11.97,1611948379,MG
novo aripuana,-5.1206,-60.3797,88.68,60,5,3.83,1611948380,BR
rincon,32.296,-81.2354,53.19,35,1,4.61,1611948381,US
lagoa,39.05,-27.9833,59.05,74,0,15.64,1611948271,PT
dhidhdhoo,6.8833,73.1,80.91,69,45,8.5,1611948383,MV
